166
300.0   2.298850575
302.0   3.2376818586
304.0   4.1765131422
306.0   5.1153444258
308.0   6.054175709400001
310.0   6.993006993
312.0   7.5944055944
314.0   8.195804195799999
316.0   8.797202797200001
318.0   9.3986013986
320.0   10.0
322.0   10.80112
324.0   11.60224
326.0   12.40336
328.0   13.20448
330.0   14.0056
332.0   15.20448
334.0   16.40336
336.0   17.60224
338.0   18.80112
340.0   20.0
342.0   21.4054054054
344.0   22.8108108108
346.0   24.2162162162
348.0   25.6216216216
350.0   27.027027027
352.0   29.2261843592
354.0   31.4253416914
356.0   33.62449902359999
358.0   35.8236563558
360.0   38.022813688
362.0   41.7393293117
364.0   45.4558449354
366.0   49.1723605591
368.0   52.8888761828
370.0   56.6053918065
372.0   60.3219074302
374.0   64.0384230539
376.0   67.75493867759999
378.0   71.4714543013
380.0   75.187969925
382.0   78.9686079607
384.0   82.74924599640001
386.0   86.5298840321
388.0   90.31052206780001
390.0   94.0911601035
392.0   97.8717981392
394.0   101.6524361749
396.0   105.4330742106
398.0   109.2137122463
400.0   112.994350282
402.0   114.11632521288
404.0   115.23830014376
406.0   116.36027507464
408.0   117.48225000552
410.0   118.6042249364
412.0   119.72619986728
414.0   120.84817479816
416.0   121.97014972904
418.0   123.09212465992
420.0   124.2140995908
422.0   125.33607452168
424.0   126.45804945256
426.0   127.58002438344
428.0   128.70199931432
430.0   129.8239742452
432.0   130.94594917608
434.0   132.06792410696
436.0   133.18989903784
438.0   134.31187396872
440.0   135.4338488996
442.0   136.55582383048
444.0   137.67779876136
446.0   138.79977369224
448.0   139.92174862312
450.0   141.043723554
452.0   142.28284908292
454.0   143.52197461184
456.0   144.76110014076
458.0   146.00022566968
460.0   147.2393511986
462.0   148.47847672752
464.0   149.71760225644
466.0   150.95672778536
468.0   152.19585331428
470.0   153.4349788432
472.0   154.67410437212
474.0   155.91322990104
476.0   157.15235542996
478.0   158.39148095888
480.0   159.6306064878
482.0   160.86973201672
484.0   162.10885754564
486.0   163.34798307456
488.0   164.58710860348
490.0   165.8262341324
492.0   167.06535966132
494.0   168.30448519024
496.0   169.54361071916
498.0   170.78273624808
500.0   172.021861777
502.0   173.26098730592
504.0   174.50011283484
506.0   175.73923836376
508.0   176.97836389268
510.0   178.2174894216
512.0   179.45661495052
514.0   180.69574047944
516.0   181.93486600836
518.0   183.17399153728
520.0   184.4131170662
522.0   185.65224259512
524.0   186.89136812404
526.0   188.13049365296
528.0   189.36961918188
530.0   190.6087447108
532.0   191.84787023972
534.0   193.08699576864
536.0   194.32612129756
538.0   195.56524682648
540.0   196.8043723554
542.0   198.04349788432
544.0   199.28262341324
546.0   200.52174894216
548.0   201.76087447108
550.0   203.0
552.0   199.85
554.0   196.7
556.0   193.55
558.0   190.4
560.0   187.25
562.0   184.1
564.0   180.95
566.0   177.8
568.0   174.65
570.0   171.5
572.0   168.35
574.0   165.2
576.0   162.05
578.0   158.9
580.0   155.75
582.0   152.6
584.0   149.45
586.0   146.3
588.0   143.15
590.0   140.0
592.0   136.85
594.0   133.7
596.0   130.55
598.0   127.4
600.0   124.25
602.0   121.1
604.0   117.95
606.0   114.8
608.0   111.65
610.0   108.5
612.0   105.35
614.0   102.2
616.0   99.05
618.0   95.90000000000001
620.0   92.75
622.0   89.60000000000001
624.0   86.45
626.0   83.3
628.0   80.15000000000001
630.0   77.0
